ticker,company,sector,subsector,delta_PPI,p_value_PPI,significant_PPI,r2,n_obs
TKO.N,Movies & Entertainment,Communication Services,Movies & Entertainment,-0.087543,0.6775,False,0.284,99
DOV.N,Industrial Machinery & Supplies & Components,Industrials,Industrial Machinery & Supplies & Components,-0.085287,0.4725,False,0.6465,99
TDY.N,Electronic Equipment & Instruments,Information Technology,Electronic Equipment & Instruments,-0.084492,0.5824,False,0.4659,99
RSG.N,Environmental & Facilities Services,Industrials,Environmental & Facilities Services,-0.080534,0.5056,False,0.361,99
AWK.N,Water Utilities,Utilities,Water Utilities,-0.079998,0.5505,False,0.1741,99
MAR.OQ,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Hotels, Resorts & Cruise Lines",-0.073628,0.62,False,0.5276,99
ON.OQ,Semiconductors,Information Technology,Semiconductors,-0.073319,0.7918,False,0.4523,99
COP.N,Oil & Gas Exploration & Production,Energy,Oil & Gas Exploration & Production,-0.072026,0.7702,False,0.2895,99
DHR.N,Life Sciences Tools & Services,Health Care,Life Sciences Tools & Services,-0.071905,0.6366,False,0.3759,99
RTX.N,Aerospace & Defense,Industrials,Aerospace & Defense,-0.071064,0.7177,False,0.2994,99
PG.N,Household Products,Consumer Staples,Household Products,-0.070003,0.6167,False,0.1588,99
BDX.N,Health Care Equipment,Health Care,Health Care Equipment,-0.066573,0.5871,False,0.2183,99
AAPL.OQ,"Technology Hardware, Storage & Peripherals",Information Technology,"Technology Hardware, Storage & Peripherals",-0.066397,0.7545,False,0.0863,99
LMT.N,Aerospace & Defense,Industrials,Aerospace & Defense,-0.065856,0.689,False,0.2077,99
GWW.N,Trading Companies & Distributors,Industrials,Trading Companies & Distributors,-0.065477,0.6457,False,0.4767,99
BRKb.N,Multi-Sector Holdings,Financials,Multi-Sector Holdings,-0.065233,0.4311,False,0.512,99
EMR.N,Electrical Components & Equipment,Industrials,Electrical Components & Equipment,-0.062277,0.6335,False,0.6543,99
A.N,Life Sciences Tools & Services,Health Care,Life Sciences Tools & Services,-0.062252,0.6844,False,0.5574,99
CAT.N,Construction Machinery & Heavy Transportation Equipment,Industrials,Construction Machinery & Heavy Transportation Equipment,-0.059384,0.7796,False,0.4204,99
LVS.N,Casinos & Gaming,Consumer Discretionary,Casinos & Gaming,-0.057663,0.7925,False,0.3627,99
NOC.N,Aerospace & Defense,Industrials,Aerospace & Defense,-0.056046,0.7216,False,0.1766,99
AXP.N,Consumer Finance,Financials,Consumer Finance,-0.055619,0.583,False,0.5541,99
ADBE.OQ,Application Software,Information Technology,Application Software,-0.054274,0.8043,False,0.4395,99
CMI.N,Construction Machinery & Heavy Transportation Equipment,Industrials,Construction Machinery & Heavy Transportation Equipment,-0.052577,0.7199,False,0.5075,99
TJX.N,Apparel Retail,Consumer Discretionary,Apparel Retail,-0.051886,0.67,False,0.1855,99
ALL.N,Property & Casualty Insurance,Financials,Property & Casualty Insurance,-0.049009,0.7527,False,0.1637,99
DDOG.OQ,Application Software,Information Technology,Application Software,-0.0481,0.9039,False,0.1914,78
CL.N,Household Products,Consumer Staples,Household Products,-0.047546,0.727,False,0.1851,99
CBOE.Z,Financial Exchanges & Data,Financials,Financial Exchanges & Data,-0.047474,0.7137,False,0.1696,99
BEN.N,Asset Management & Custody Banks,Financials,Asset Management & Custody Banks,-0.046646,0.7668,False,0.5196,99
EPAM.N,IT Consulting & Other Services,Information Technology,IT Consulting & Other Services,-0.046388,0.8963,False,0.3219,99
PPG.N,Specialty Chemicals,Materials,Specialty Chemicals,-0.046247,0.7381,False,0.5514,99
MRNA.OQ,Biotechnology,Health Care,Biotechnology,-0.045239,0.9137,False,0.1346,87
BA.N,Aerospace & Defense,Industrials,Aerospace & Defense,-0.044068,0.8366,False,0.3508,99
JBL.N,Electronic Manufacturing Services,Information Technology,Electronic Manufacturing Services,-0.043402,0.8349,False,0.4072,99
RF.N,Regional Banks,Financials,Regional Banks,-0.043293,0.7797,False,0.4621,99
PM.N,Tobacco,Consumer Staples,Tobacco,-0.040575,0.7882,False,0.1945,99
ZTS.N,Pharmaceuticals,Health Care,Pharmaceuticals,-0.040406,0.7892,False,0.3629,99
ULTA.OQ,Other Specialty Retail,Consumer Discretionary,Other Specialty Retail,-0.040343,0.8727,False,0.3569,99
